conservation of mass;сохранение массы
combustion;горение
accurate;точный
matter;вещество
quantity;колличество
breakthrough;прорыв
sparse;неплотный, редкий
partial;частичный
least;наименьший
penalization;наказание, штраф, пенализация
tries;пытается
maximize;максимизировать
covariance;ковариационный
useful;полезный
fitting;монтаж, крепление
perform;выполнять
variable;переменная
indeed;действительно
facilitate;содействовать
propose;предлагать
introducing;вступление
sparsity;разрежённость
improve;улучшать
interpretability;интерпретируемость
usability;удобство пользования
extension;расширение
